person,trial,choice,site
406,2,double_pre_cra,Aberdeen
406,3,double_pre_cra,Aberdeen
406,4,double_pre_cra,Aberdeen
406,5,double_pre_cra,Aberdeen
406,6,double_pre_cra,Aberdeen
407,1,pre_crastinate,Aberdeen
407,2,pre_crastinate,Aberdeen
407,3,pre_crastinate,Aberdeen
407,4,pre_crastinate,Aberdeen
407,5,pre_crastinate,Aberdeen
407,6,sensible,Aberdeen
408,1,pre_crastinate,Aberdeen
408,2,pre_crastinate,Aberdeen
408,3,pre_crastinate,Aberdeen
408,4,pre_crastinate,Aberdeen
408,5,pre_crastinate,Aberdeen
408,6,pre_crastinate,Aberdeen
409,1,pre_crastinate,Aberdeen
409,2,pre_crastinate,Aberdeen
409,3,pre_crastinate,Aberdeen
409,4,pre_crastinate,Aberdeen
409,5,pre_crastinate,Aberdeen
409,6,pre_crastinate,Aberdeen
410,1,double_pre_cra,Aberdeen
410,2,double_pre_cra,Aberdeen
410,3,double_pre_cra,Aberdeen
410,4,double_pre_cra,Aberdeen
410,5,double_pre_cra,Aberdeen
410,6,double_pre_cra,Aberdeen
411,1,pre_crastinate,Aberdeen
411,2,sensible,Aberdeen
411,3,sensible,Aberdeen
411,4,sensible,Aberdeen
411,5,sensible,Aberdeen
411,6,sensible,Aberdeen
412,1,sensible,Aberdeen
412,2,sensible,Aberdeen
412,3,sensible,Aberdeen
412,4,sensible,Aberdeen
412,5,sensible,Aberdeen
412,6,sensible,Aberdeen
413,1,double_pre_cra,Aberdeen
413,2,double_pre_cra,Aberdeen
413,3,double_pre_cra,Aberdeen
413,4,double_pre_cra,Aberdeen
413,5,double_pre_cra,Aberdeen
413,6,double_pre_cra,Aberdeen
414,1,sensible,Aberdeen
414,2,sensible,Aberdeen
414,3,sensible,Aberdeen
414,4,sensible,Aberdeen
414,5,pre_crastinate,Aberdeen
414,6,pre_crastinate,Aberdeen
415,1,pre_crastinate,Aberdeen
415,2,pre_crastinate,Aberdeen
415,3,sensible,Aberdeen
415,4,sensible,Aberdeen
415,5,sensible,Aberdeen
415,6,sensible,Aberdeen
416,1,pre_crastinate,Aberdeen
416,2,pre_crastinate,Aberdeen
416,3,pre_crastinate,Aberdeen
416,4,pre_crastinate,Aberdeen
416,5,pre_crastinate,Aberdeen
416,6,pre_crastinate,Aberdeen
417,1,double_pre_cra,Aberdeen
417,2,double_pre_cra,Aberdeen
417,3,double_pre_cra,Aberdeen
417,4,double_pre_cra,Aberdeen
417,5,double_pre_cra,Aberdeen
417,6,double_pre_cra,Aberdeen
418,1,double_pre_cra,Aberdeen
418,2,double_pre_cra,Aberdeen
418,3,double_pre_cra,Aberdeen
418,4,double_pre_cra,Aberdeen
418,5,double_pre_cra,Aberdeen
418,6,double_pre_cra,Aberdeen
419,1,double_pre_cra,Aberdeen
419,2,double_pre_cra,Aberdeen
419,3,pre_crastinate,Aberdeen
419,4,pre_crastinate,Aberdeen
419,5,pre_crastinate,Aberdeen
419,6,pre_crastinate,Aberdeen
420,1,double_pre_cra,Aberdeen
420,2,sensible,Aberdeen
420,3,sensible,Aberdeen
420,4,sensible,Aberdeen
420,5,sensible,Aberdeen
420,6,sensible,Aberdeen
421,1,double_pre_cra,Aberdeen
421,2,double_pre_cra,Aberdeen
421,3,double_pre_cra,Aberdeen
421,4,double_pre_cra,Aberdeen
421,5,double_pre_cra,Aberdeen
421,6,double_pre_cra,Aberdeen
422,1,sensible,Aberdeen
422,2,sensible,Aberdeen
422,3,sensible,Aberdeen
422,4,sensible,Aberdeen
422,5,sensible,Aberdeen
422,6,sensible,Aberdeen
423,1,pre_crastinate,Aberdeen
423,2,pre_crastinate,Aberdeen
423,3,pre_crastinate,Aberdeen
423,4,pre_crastinate,Aberdeen
423,5,pre_crastinate,Aberdeen
423,6,pre_crastinate,Aberdeen
425,1,sensible,Aberdeen
425,2,sensible,Aberdeen
425,3,sensible,Aberdeen
425,4,sensible,Aberdeen
425,5,sensible,Aberdeen
425,6,sensible,Aberdeen
426,1,sensible,Aberdeen
426,2,sensible,Aberdeen
426,3,sensible,Aberdeen
426,4,sensible,Aberdeen
426,5,sensible,Aberdeen
426,6,sensible,Aberdeen
427,1,double_pre_cra,Aberdeen
427,2,double_pre_cra,Aberdeen
427,3,double_pre_cra,Aberdeen
427,4,double_pre_cra,Aberdeen
427,5,double_pre_cra,Aberdeen
427,6,double_pre_cra,Aberdeen
428,1,double_pre_cra,Aberdeen
428,2,double_pre_cra,Aberdeen
428,3,double_pre_cra,Aberdeen
428,4,double_pre_cra,Aberdeen
428,5,double_pre_cra,Aberdeen
428,6,double_pre_cra,Aberdeen
429,1,sensible,Aberdeen
429,2,sensible,Aberdeen
429,3,sensible,Aberdeen
429,4,sensible,Aberdeen
429,5,sensible,Aberdeen
429,6,sensible,Aberdeen
430,1,pre_crastinate,Aberdeen
430,2,pre_crastinate,Aberdeen
430,3,pre_crastinate,Aberdeen
430,4,pre_crastinate,Aberdeen
430,5,pre_crastinate,Aberdeen
430,6,pre_crastinate,Aberdeen
431,1,pre_crastinate,Aberdeen
